dropped_ocid,kept_ocid,buyer_id,tender_title,date_published
ocds-dgv273-seacev3-1251581,ocds-dgv273-seacev3-1224932,PE-CONSUCODE-48,CP CON-SM-3-2025-GRP-GGR-C-CP-1,2026-06-12T16:20:00-05:00
ocds-dgv273-seacev3-1238201,ocds-dgv273-seacev3-1230570,PE-CONSUCODE-399,LP-ABR-22-2026-MDCC-1,2026-06-03T16:59:00-05:00
ocds-dgv273-seacev3-1221932,ocds-dgv273-seacev3-1230570,PE-CONSUCODE-399,LP-ABR-22-2026-MDCC-1,2026-06-03T16:59:00-05:00
ocds-dgv273-seacev3-1249901,ocds-dgv273-seacev3-1227943,PE-CONSUCODE-10249,CP-ABR-4-2026-ALAR5/FAP-2,2026-06-23T11:57:00-05:00
ocds-dgv273-seacev3-1249294,ocds-dgv273-seacev3-1228041,PE-CONSUCODE-820,LP-ABR-8-2026-C-MDQ/LC-1,2026-06-23T17:03:00-05:00
ocds-dgv273-seacev3-1223800,ocds-dgv273-seacev3-1238297,PE-CONSUCODE-43,CP-ABR-15-2026-GR.LAMB/CS-1,2026-06-09T20:10:00-05:00
ocds-dgv273-seacev3-1249372,ocds-dgv273-seacev3-2026-8-5,PE-CONSUCODE-8,CP SER-SM-7-2026-C.G.R.-1,2026-06-26T16:42:00-05:00
ocds-dgv273-seacev3-1236228,ocds-dgv273-seacev3-1224055,PE-CONSUCODE-200261,LP-ABR-4-2026-AGRORUR-UZMDD-1,2026-06-10T16:24:00-05:00
ocds-dgv273-seacev3-1235059,ocds-dgv273-seacev3-1224055,PE-CONSUCODE-200261,LP-ABR-4-2026-AGRORUR-UZMDD-1,2026-06-10T16:24:00-05:00
ocds-dgv273-seacev3-1223982,ocds-dgv273-seacev3-1240669,PE-CONSUCODE-526,CP CON-SM-1-2026-MDA/CS-1,2026-06-23T20:25:00-05:00
ocds-dgv273-seacev3-1226013,ocds-dgv273-seacev3-1249896,PE-CONSUCODE-1119,LP-ABR-4-2026-MDA/CS-1,2026-06-01T18:08:00-05:00
ocds-dgv273-seacev3-1241506,ocds-dgv273-seacev3-1249896,PE-CONSUCODE-1119,LP-ABR-4-2026-MDA/CS-1,2026-06-01T18:08:00-05:00
ocds-dgv273-seacev3-1221026,ocds-dgv273-seacev3-1249896,PE-CONSUCODE-1119,LP-ABR-4-2026-MDA/CS-1,2026-06-01T18:08:00-05:00
ocds-dgv273-seacev3-1224825,ocds-dgv273-seacev3-1232388,PE-CONSUCODE-622,LP-SM-1-2026-MDM/CS-1,2026-06-15T23:37:00-05:00
ocds-dgv273-seacev3-2026-10431-4,ocds-dgv273-seacev3-1251810,PE-CONSUCODE-10431,CP CON-SM-4-2026-GSRCHOTA-1,2026-06-19T16:32:00-05:00
ocds-dgv273-seacev3-2026-200022-15,ocds-dgv273-seacev3-1249166,PE-CONSUCODE-200022,CP-ABR-12-2026-VIVIENDA-OGA-UE-1,2026-06-11T18:19:00-05:00
ocds-dgv273-seacev3-1249691,ocds-dgv273-seacev3-1225428,PE-CONSUCODE-40,LP-SM-3-2026-GRH/CO-1,2026-06-15T20:24:00-05:00
ocds-dgv273-seacev3-2026-32-1,ocds-dgv273-seacev3-1251483,PE-CONSUCODE-32,LP-SM-2-2026-GRA/C-1,2026-06-15T18:04:00-05:00
ocds-dgv273-seacev3-1227152,ocds-dgv273-seacev3-1233736,PE-CONSUCODE-1025,LP-ABR-8-2025-C-MPI-3,2026-06-19T13:02:00-05:00
ocds-dgv273-seacev3-1225858,ocds-dgv273-seacev3-1243348,PE-CONSUCODE-200425,CP-ABR-2-2026-UGEL PI/CS-1,2026-06-17T23:20:00-05:00
ocds-dgv273-seacev3-1229009,ocds-dgv273-seacev3-1237897,PE-CONSUCODE-49,LP-ABR-273-2026-CS/GR-PUNO-2,2026-06-26T18:30:00-05:00
ocds-dgv273-seacev3-1235706,ocds-dgv273-seacev3-1227984,PE-CONSUCODE-2384,LP-SM-5-2026-SEDAPAR-1,2026-06-23T14:57:00-05:00
ocds-dgv273-seacev3-1251151,ocds-dgv273-seacev3-1226188,PE-CONSUCODE-1157,LP-ABR-7-2026-MDLL/C-1,2026-06-17T19:23:00-05:00
ocds-dgv273-seacev3-1229873,ocds-dgv273-seacev3-1246801,PE-CONSUCODE-1057,LP-ABR-1-2026-CS/MDRG-1,2026-06-30T22:25:00-05:00
ocds-dgv273-seacev3-1250346,ocds-dgv273-seacev3-1228094,PE-CONSUCODE-1979,LP-ABR-5-2026-INS-1,2026-06-23T17:05:00-05:00
ocds-dgv273-seacev3-1228145,ocds-dgv273-seacev3-1250498,PE-CONSUCODE-1585,LP-ABR-10-2026-MDC-C-1,2026-06-23T19:36:00-05:00
ocds-dgv273-seacev3-1242103,ocds-dgv273-seacev3-1250498,PE-CONSUCODE-1585,LP-ABR-10-2026-MDC-C-1,2026-06-23T19:36:00-05:00
ocds-dgv273-seacev3-1227891,ocds-dgv273-seacev3-1235097,PE-CONSUCODE-1209,LP-SM-3-2026-MPSC-1,2026-06-23T11:50:00-05:00
ocds-dgv273-seacev3-1250529,ocds-dgv273-seacev3-1220159,PE-CONSUCODE-326,LP-SM-2-2026-MPA-1,2026-06-01T17:50:00-05:00
ocds-dgv273-seacev3-1227011,ocds-dgv273-seacev3-1227038,PE-CONSUCODE-20005,AS-SM-7-2025-GRC-CS-2,2026-06-19T09:33:00-05:00
ocds-dgv273-seacev3-2026-1859-8,ocds-dgv273-seacev3-1242847,PE-CONSUCODE-1859,LP-ABR-7-2026-MPT-CS-1,2026-06-11T10:26:00-05:00
ocds-dgv273-seacev3-1251010,ocds-dgv273-seacev3-1222087,PE-CONSUCODE-1307,LP-SM-4-2026-MML-OGA-OL-1,2026-06-03T17:23:00-05:00
ocds-dgv273-seacev3-1241707,ocds-dgv273-seacev3-1228820,PE-CONSUCODE-201225,CP-ABR-2-2026-IN/OGIN-1,2026-06-25T19:01:00-05:00
ocds-dgv273-seacev3-1227931,ocds-dgv273-seacev3-1245267,PE-CONSUCODE-49,LP-ABR-154-2026-GR PUNO/OC-1,2026-06-23T11:40:00-05:00
ocds-dgv273-seacev3-1227017,ocds-dgv273-seacev3-1246536,PE-CONSUCODE-470,LP-ABR-1-2026-MDL-1,2026-06-24T19:35:00-05:00
ocds-dgv273-seacev3-1223985,ocds-dgv273-seacev3-1241474,PE-CONSUCODE-1555,LP-ABR-11-2026-DEC-1,2026-06-10T20:36:00-05:00
