buyer_department,total_awarded_processes,single_bidder_processes,single_bidder_share
Tumbes,120,44,0.3667
Lima,3886,1175,0.3024
Amazonas,216,35,0.162
Arequipa,548,78,0.1423
La Libertad,486,50,0.1029
Piura,399,41,0.1028
Lambayeque,271,27,0.0996
Callao,220,21,0.0955
Loreto,334,31,0.0928
Ayacucho,440,34,0.0773
Cajamarca,594,40,0.0673
San Martín,244,16,0.0656
Madre de Dios,155,9,0.0581
Pasco,176,10,0.0568
Ica,230,13,0.0565
Junín,629,31,0.0493
Moquegua,254,12,0.0472
Huánuco,444,19,0.0428
Áncash,896,38,0.0424
Tacna,227,9,0.0396
Huancavelica,275,10,0.0364
Ucayali,278,10,0.036
Puno,763,25,0.0328
Cusco,1089,25,0.023
Apurímac,592,9,0.0152
