ocid,buyer_id,buyer_name,buyer_department_raw,tender_title,tender_description,main_procurement_category,procurement_method,procurement_method_details,amount,currency,date_published,number_of_tenderers,num_awards,award_supplier_names,is_single_bidder_awarded,data_segmentation_id,row_source,buyer_department,is_encoding_issue
ocds-dgv273-seacev3-1251892,PE-CONSUCODE-10015,PROGRAMA SUBSECTORIAL DE IRRIGACIONES - PSI,LIMA,CONV-PROC-177-2026-SCI-MIDAGRI-PSI-1,ASISTENTE TÉCNICO ZONAL EN ESTUDIOS I ¿ ZONA 3 PARA EL PROGRAMA NACIONAL DE RIEGO TECNIFICADO PARA UNA AGRICULTURA CLIMÁTICAMENTE RESILIENTE (PNRT),services,open,Convenio,15000.0,PEN,2026-09-21T20:05:00-05:00,1,1,YAMPASI KANA ELARD DANTE,True,2026-06,bulk:2026-06,Lima,False
ocds-dgv273-seacev3-1238201,PE-CONSUCODE-399,MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,AREQUIPA,LP-ABR-22-2026-MDCC-1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA - IOARR: CONSTRUCCION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE Y CONEXION DOMICILIARIA DE ALCANTARILLADO; EN EL(LA) ASOCIACIÓN AGRUPACION DE VIVIENDA SAN PEDRO DEL CONO NORTE DISTRITO DE CERRO COLORADO, AREQUIPA - AREQUIPA, CUI 2695684",works,,Licitación Pública Abreviada,636474.57,PEN,2026-06-03T16:59:00-05:00,25,1,CONSORCIO CRISMA,False,2026-06,bulk:2026-06,Arequipa,False
ocds-dgv273-seacev3-1228904,PE-CONSUCODE-1053,MUNICIPALIDAD DISTRITAL DE MARCONA,ICA,LP-SM-15-2026-COMITE-MDM-1,"ELABORACION DE EXPEDIENTE TECNICO Y EJECUCION DE LA OBRA: ""CREACION DEL SERVICIO DE SUMINISTRO ELÉCTRICO DOMICILIARIO EN ZONAS URBANAS EN SUMINISTRO ELECTRICO RED PRIMARIA Y SECUNDARIA DE CENTRO POBLADO ASENTAMIENTO HUMANO RUTA DEL SOL SEGUNDA ETAPA DISTRITO DE MARCONA DE LA PROVINCIA DE NASCA DEL D",works,open,Licitación Pública,17785837.7,PEN,2026-06-25T18:18:00-05:00,23,1,CONSORCIO ELECTRICO MARCONA,False,2026-06,bulk:2026-06,Ica,False
ocds-dgv273-seacev3-1238297,PE-CONSUCODE-43,GOBIERNO REGIONAL DE LAMBAYEQUE Sede Central,LAMBAYEQUE,CP-ABR-15-2026-GR.LAMB/CS-1,"CONTRATACIÓN DE CONSULTORÍA DE OBRA PARA LA ELABORACIÓN DEL EXPEDIENTE TECNICO DEL PROYECTO DE INVERSION DEL PROYECTO: ¿MEJORAMIENTO DEL SERVICIO DE EDUCACION PRIMARIA Y SERVICIO DE EDUCACIÓN SECUNDARIA EN I.E. 10078 DISTRITO DE CAÑARIS DE LA PROVINCIA DE FERREÑAFE-  LAMBAYEQUE"" CUI N° 2714219,",services,,Concurso Público Abreviado,276045.28,PEN,2026-06-09T20:10:00-05:00,30,1,CONSORCIO CONSULTOR FORTALEZA,False,2026-06,bulk:2026-06,Lambayeque,False
ocds-dgv273-seacev3-1222198,PE-CONSUCODE-49,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,PUNO,CP-ABR-63-2025-OC/GR PUNO-1,"SERVICIO DE ALQUILER DE CAMIÓN CISTERNA, PARA LA META MEJORAMIENTO DE LA DEFENSA RIBEREÑA EN EL TRAMO V EN LAS MÁRGENES DERECHA E IZQUIERDA DEL RIO RAMIS EN LOS TRAMOS DE SACASCO, COLLANA, CHACAMARCA, PATASCACHI, YANAOCO, TUNI GRANDE, RAMIS, Y BALSAPATA, MULTIDISTRAL ¿ MULTIPROVINCIAL - PUNO",services,,Concurso Público Abreviado,432300.0,PEN,2026-06-03T18:49:00-05:00,8,0,,False,2026-06,bulk:2026-06,Puno,False
ocds-dgv273-seacev3-1222649,PE-CONSUCODE-801,MUNICIPALIDAD DISTRITAL DE LIVITACA,CUSCO,SIE-SIE-1-2026-MDL/CH-2,"CONTRATACION DE BIENES PARA LA ADQUISICION DE COMBUSTIBLE PARA LA META: 52 - MEJORAMIENTO DE LOS SERVICIOS DE APOYO AL DESARROLLO PRODUCTIVO EN TECNOLOGIAS AGRICOLAS EN EL DISTRITO DE LIVITACA, CHUMBIVILCAS, CUSCO",goods,open,Subasta Inversa Electrónica,244886.13,PEN,2026-06-04T21:16:00-05:00,4,1,"""ESTACION DE SERVICIOS LEO ESPINAR E.I.R.L""",False,2026-06,bulk:2026-06,Cusco,False
ocds-dgv273-seacev3-1226139,PE-CONSUCODE-200363,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,LIMA,SIE-SIE-19-2026-CENARES/MINSA-1,ADQUISICION DE DISPOSITIVOS MEDICOS ¿ COMPRA CENTRALIZADA PARA EL ABASTECIMIENTO POR UN PERIODO DE DOCE (12) MESES ¿ NUEVE (09) ÍTEMS,goods,open,Subasta Inversa Electrónica,0.0,PEN,2026-06-22T12:35:00-05:00,,0,,False,2026-06,bulk:2026-06,Lima,False
ocds-dgv273-seacev3-2026-2430-20,PE-CONSUCODE-2430,EMPRESA ACTIVOS MINEROS SAC,LIMA,CP CON-SM-4-2026-AMSAC-1,"SERVICIO DE CONSULTORÍA PARA EL MONITOREO DE ESTABILIDAD FÍSICA E HIDROLÓGICA DE LOS PASIVOS AMBIENTALES A CARGO DE ACTIVOS MINEROS SAC EN LAS REGIONES DE LIMA, PASCO, JUNIN, CAJAMARCA, PUNO Y ÁNCASH",services,,Concurso Público para Consultoría,0.0,PEN,2026-06-12T15:11:00-05:00,,0,,False,2026-06,bulk:2026-06,Lima,False
ocds-dgv273-seacev3-1227255,PE-CONSUCODE-200825,DIRECCION EJECUTIVA DE INVESTIGACION CRIMINAL Y APOYO A LA JUSTICIA PNP - DIREICAJ  PNP,LIMA,LP-SM-8-2026-UE:026-DIREICAJ-1,"ADQUISICIÓN DE EQUIPOS DE LABORATORIO CRIMINALISTICOS PARA LA UNIDAD FUNCIONAL DE CRIMINALISTICA CON SEDE EN LA UNIDAD DE FLAGRANCIA DEL DISTRITO JUDICIAL LIMA ESTE - DIRCRI PNP, CUI N°2696260",goods,open,Licitación Pública,0.0,PEN,2026-06-19T20:31:00-05:00,,0,,False,2026-06,bulk:2026-06,Lima,False
ocds-dgv273-seacev3-1226639,PE-CONSUCODE-10208,HOSPITAL CAYETANO HEREDIA,LIMA,SIE-SIE-22-2026-HNCH-1,ADQUISICION DE PRODUCTO FARMACEUTICO TRAMADOL CLORHIDRATO 50 MG TB PARA EL ABASTECIMIENTO ANUAL DE LOS SERVICIOS DEL HOSPITAL CAYETANO HEREDIA,goods,open,Subasta Inversa Electrónica,152000.0,PEN,2026-06-18T12:49:00-05:00,7,1,INSTITUTO QUIMIOTERAPICO S A,False,2026-06,bulk:2026-06,Lima,False
